timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1623577042800,0,13,2.8564453125E-6,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577042814,0,27,5.9326171875000005E-6,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577042815,0,8,1.7578125E-6,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577042836,0,18,3.955078125E-6,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577042837,0,27,5.9326171875000005E-6,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577042838,0,23,5.0537109375E-6,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577042839,0,19,4.1748046875E-6,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577042840,0,38,8.349609375E-6,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577042841,0,28,6.15234375E-6,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577042847,0,34,7.4707031250000005E-6,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577042848,0,34,7.4707031250000005E-6,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577042864,0,25,5.4931640625E-6,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577042865,0,28,6.15234375E-6,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577042881,0,6,1.318359375E-6,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577042882,0,33,7.2509765625E-6,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577042883,0,39,8.5693359375E-6,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577042899,0,36,7.91015625E-6,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
1623577042900,0,51,1.1206054687499999E-5,24,84,46,37389,81518,16761996,83960,10243,12378,682,1023,Tag0,unknown
